,Unnamed: 0,Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,datetime,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
29,29,0.515395728113926,0.917694120698618,1491,A20190102255,8.27,3.61,Shiraz,2019-01-10 22:55:00,15775,2019,1,10,22,55,night,Winter,6.13997116684457,5.53155862210953
30,30,0.597949801733257,0.822224610614529,1322,A20190102255,3.89,2.92,Kermanshah,2019-01-10 22:55:00,15775,2019,1,10,22,55,night,Winter,7.047931802719473,7.083153519088221
31,31,0.664621379159441,0.807738377822976,1361,A20190102255,3.82,2.98,Tabriz,2019-01-10 22:55:00,15775,2019,1,10,22,55,night,Winter,7.50140751979544,7.0046796397357385
32,32,0.546811654649823,0.84945174694564,22,A20190110955,6.46,10.28,Ahwaz,2019-01-11 09:55:00,16435,2019,1,11,9,55,day,Winter,9.619179852498576,9.548657172346745
33,33,0.527962098728285,0.99413954193597,1754,A20190110955,3.62,2.83,Kerman,2019-01-11 09:55:00,16435,2019,1,11,9,55,day,Winter,4.891137250019076,4.48352420689308
34,34,0.622733477111577,0.896226570899088,1191,A20190110955,4.98,4.21,Tehran,2019-01-11 09:55:00,16435,2019,1,11,9,55,day,Winter,5.850935838796719,6.619703480000137
35,35,0.622733477111577,0.896226570899088,1191,A20190112200,4.0,1.76,Tehran,2019-01-11 22:00:00,17160,2019,1,11,22,0,night,Winter,6.761215429323679,6.274284563743486
36,36,0.566533875197359,0.902509756206268,1550,A20190112200,3.58,2.0,Esfahan,2019-01-11 22:00:00,17160,2019,1,11,22,0,night,Winter,6.2383747997246,5.3364258590834535
37,37,0.515395728113926,0.917694120698618,1491,A20190112200,3.43,2.1,Shiraz,2019-01-11 22:00:00,17160,2019,1,11,22,0,night,Winter,5.76233953285392,5.420850747145265
38,38,0.51417399763753,1.06255644861415,1370,A20190112200,9.53,2.48,Zahedan,2019-01-11 22:00:00,17160,2019,1,11,22,0,night,Winter,5.292000932979868,5.733652246118998
39,39,0.664621379159441,0.807738377822976,1361,A20190112200,3.45,2.48,Tabriz,2019-01-11 22:00:00,17160,2019,1,11,22,0,night,Winter,7.390604166225751,6.7961440002055715
40,40,0.573515192205337,1.03323491718064,1491,A20190120900,2.06,2.7,Birjand,2019-01-12 09:00:00,17820,2019,1,12,9,0,day,Winter,3.993576122704176,4.66810755275088
41,41,0.622733477111577,0.896226570899088,1191,A20190120900,5.26,4.81,Tehran,2019-01-12 09:00:00,17820,2019,1,12,9,0,day,Winter,5.532874907154215,6.8097549405080136
42,42,0.51417399763753,1.06255644861415,1370,A20190122105,3.52,3.45,Zahedan,2019-01-12 21:05:00,18545,2019,1,12,21,5,night,Winter,5.635735648546159,5.709847637515691
43,43,0.622733477111577,0.896226570899088,1191,A20190122240,4.11,4.04,Tehran,2019-01-12 22:40:00,18640,2019,1,12,22,40,night,Winter,7.370720086666062,6.58132413277905
44,44,0.664621379159441,0.807738377822976,1361,A20190122240,3.13,3.49,Tabriz,2019-01-12 22:40:00,18640,2019,1,12,22,40,night,Winter,7.635417850869066,6.919219068668218
45,45,0.566533875197359,0.902509756206268,1550,A20190132145,8.08,7.21,Esfahan,2019-01-13 21:45:00,20025,2019,1,13,21,45,night,Winter,8.430529614405625,7.416276058579379
46,46,0.622733477111577,0.896226570899088,1191,A20190142230,14.44,7.8,Tehran,2019-01-14 22:30:00,21510,2019,1,14,22,30,night,Winter,9.179667725839806,7.978881314745948
47,47,0.632856386773144,1.04073983296422,990,A20190142230,13.5,10.37,Mashhad,2019-01-14 22:30:00,21510,2019,1,14,22,30,night,Winter,10.751143387609892,10.109489389845614
48,48,0.597949801733257,0.822224610614529,1322,A20190142230,14.54,5.75,Kermanshah,2019-01-14 22:30:00,21510,2019,1,14,22,30,night,Winter,8.029313186835537,7.411028461472365
49,49,0.664621379159441,0.807738377822976,1361,A20190142230,8.16,3.67,Tabriz,2019-01-14 22:30:00,21510,2019,1,14,22,30,night,Winter,7.672103081364104,7.078610418195651
50,50,0.622733477111577,0.896226570899088,1191,A20190150930,4.34,4.38,Tehran,2019-01-15 09:30:00,22170,2019,1,15,9,30,day,Winter,5.668344813235499,6.58336189291896
51,51,0.515395728113926,0.917694120698618,1491,A20190152135,14.08,14.18,Shiraz,2019-01-15 21:35:00,22895,2019,1,15,21,35,night,Winter,12.392282511682982,11.725942263490905
52,52,0.632856386773144,1.04073983296422,990,A20190152135,12.85,3.65,Mashhad,2019-01-15 21:35:00,22895,2019,1,15,21,35,night,Winter,6.78693589780969,6.756147062446069
53,53,0.597949801733257,0.822224610614529,1322,A20190152310,9.75,3.38,Kermanshah,2019-01-15 23:10:00,22990,2019,1,15,23,10,night,Winter,7.1612446368518246,7.540741459128471
54,54,0.664621379159441,0.807738377822976,1361,A20190152310,7.39,3.84,Tabriz,2019-01-15 23:10:00,22990,2019,1,15,23,10,night,Winter,7.778410265009763,7.467230233454101
55,55,0.573515192205337,1.03323491718064,1491,A20190160835,8.69,6.27,Birjand,2019-01-16 08:35:00,23555,2019,1,16,8,35,day,Winter,5.690743270088922,6.520961055595894
56,56,0.597949801733257,0.822224610614529,1322,A20190162215,8.41,5.43,Kermanshah,2019-01-16 22:15:00,24375,2019,1,16,22,15,night,Winter,7.898826923905567,7.536359831307091
57,57,0.51417399763753,1.06255644861415,1370,A20190162220,13.5,14.29,Zahedan,2019-01-16 22:20:00,24380,2019,1,16,22,20,night,Winter,12.122588204847547,11.887530436076716
58,58,0.51417399763753,1.06255644861415,1370,A20190172125,11.84,8.17,Zahedan,2019-01-17 21:25:00,25765,2019,1,17,21,25,night,Winter,8.194973373052534,8.267294002573763
59,59,0.573515192205337,1.03323491718064,1491,A20190181000,3.0,4.44,Birjand,2019-01-18 10:00:00,26520,2019,1,18,10,0,day,Winter,4.936083474182657,5.464065354844471
60,60,0.527962098728285,0.99413954193597,1754,A20190181000,3.91,3.24,Kerman,2019-01-18 10:00:00,26520,2019,1,18,10,0,day,Winter,4.658118526339758,5.553355867787342
61,61,0.622733477111577,0.896226570899088,1191,A20190182205,6.77,2.93,Tehran,2019-01-18 22:05:00,27245,2019,1,18,22,5,night,Winter,6.933727228556268,7.487899351485052
62,62,0.632856386773144,1.04073983296422,990,A20190182205,6.92,3.86,Mashhad,2019-01-18 22:05:00,27245,2019,1,18,22,5,night,Winter,6.8767666644112415,7.208100633347669
63,63,0.51417399763753,1.06255644861415,1370,A20190182205,12.64,10.39,Zahedan,2019-01-18 22:05:00,27245,2019,1,18,22,5,night,Winter,9.954468878551314,9.543597837595234
64,64,0.573515192205337,1.03323491718064,1491,A20190190905,3.62,4.21,Birjand,2019-01-19 09:05:00,27905,2019,1,19,9,5,day,Winter,4.592015547156364,4.859060191437186
65,65,0.527962098728285,0.99413954193597,1754,A20190190905,2.73,2.32,Kerman,2019-01-19 09:05:00,27905,2019,1,19,9,5,day,Winter,4.0804126395918745,4.484872369369728
66,66,0.51417399763753,1.06255644861415,1370,A20190192110,7.05,5.24,Zahedan,2019-01-19 21:10:00,28630,2019,1,19,21,10,night,Winter,6.294190111744721,5.6907954140175345
67,67,0.622733477111577,0.896226570899088,1191,A20190192245,4.9,4.54,Tehran,2019-01-19 22:45:00,28725,2019,1,19,22,45,night,Winter,7.386401663307101,7.3022334091154075
68,68,0.632856386773144,1.04073983296422,990,A20190192245,6.29,4.91,Mashhad,2019-01-19 22:45:00,28725,2019,1,19,22,45,night,Winter,7.241721177781699,7.132687493437076
69,69,0.546811654649823,0.84945174694564,22,A20190200950,7.14,8.36,Ahwaz,2019-01-20 09:50:00,29390,2019,1,20,9,50,day,Winter,9.212844714479958,8.73306461326314
70,70,0.573515192205337,1.03323491718064,1491,A20190200950,5.19,5.31,Birjand,2019-01-20 09:50:00,29390,2019,1,20,9,50,day,Winter,5.483773331461151,5.560860535450204
71,71,0.527962098728285,0.99413954193597,1754,A20190200950,3.73,3.44,Kerman,2019-01-20 09:50:00,29390,2019,1,20,9,50,day,Winter,4.850651938480697,4.728609263254252
72,72,0.622733477111577,0.896226570899088,1191,A20190200950,5.02,6.87,Tehran,2019-01-20 09:50:00,29390,2019,1,20,9,50,day,Winter,6.840621946298914,8.652040295146367
73,73,0.622733477111577,0.896226570899088,1191,A20190202150,4.6,3.26,Tehran,2019-01-20 21:50:00,30110,2019,1,20,21,50,night,Winter,6.907394442306005,7.402930003299533
74,74,0.515395728113926,0.917694120698618,1491,A20190202155,2.81,3.92,Shiraz,2019-01-20 21:55:00,30115,2019,1,20,21,55,night,Winter,5.997715528381984,5.380347947365065
75,75,0.51417399763753,1.06255644861415,1370,A20190202155,4.53,3.4,Zahedan,2019-01-20 21:55:00,30115,2019,1,20,21,55,night,Winter,5.2742685118837045,5.754045969767423
76,76,0.597949801733257,0.822224610614529,1322,A20190202330,4.02,3.7,Kermanshah,2019-01-20 23:30:00,30210,2019,1,20,23,30,night,Winter,7.096778990342586,8.092867858131264
77,77,0.664621379159441,0.807738377822976,1361,A20190202330,3.1,3.83,Tabriz,2019-01-20 23:30:00,30210,2019,1,20,23,30,night,Winter,7.636339515868374,7.835184272947901
78,78,0.573515192205337,1.03323491718064,1491,A20190210855,3.61,4.13,Birjand,2019-01-21 08:55:00,30775,2019,1,21,8,55,day,Winter,4.713824406045855,4.769134101572028
79,79,0.527962098728285,0.99413954193597,1754,A20190210855,3.0,5.24,Kerman,2019-01-21 08:55:00,30775,2019,1,21,8,55,day,Winter,5.481631791616706,5.5503494669452405
80,80,0.622733477111577,0.896226570899088,1191,A20190212235,4.77,3.75,Tehran,2019-01-21 22:35:00,31595,2019,1,21,22,35,night,Winter,7.083587347359947,7.538617076532816
81,81,0.566533875197359,0.902509756206268,1550,A20190212235,3.83,4.5,Esfahan,2019-01-21 22:35:00,31595,2019,1,21,22,35,night,Winter,6.841440163497869,6.801128204445799
82,82,0.515395728113926,0.917694120698618,1491,A20190212235,3.99,2.93,Shiraz,2019-01-21 22:35:00,31595,2019,1,21,22,35,night,Winter,5.669156154887078,5.945924339111145
83,83,0.632856386773144,1.04073983296422,990,A20190212235,6.81,3.75,Mashhad,2019-01-21 22:35:00,31595,2019,1,21,22,35,night,Winter,6.743870541456034,7.230959298721959
84,84,0.51417399763753,1.06255644861415,1370,A20190212235,4.64,3.22,Zahedan,2019-01-21 22:35:00,31595,2019,1,21,22,35,night,Winter,5.259215540967763,6.051796902943692
85,85,0.546811654649823,0.84945174694564,22,A20190220935,11.76,13.31,Ahwaz,2019-01-22 09:35:00,32255,2019,1,22,9,35,day,Winter,11.563849340480624,14.102428411356017
