datetime,Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
1/18/2019 22:05,0.514173998,1.062556449,1370,A20190182205,12.64,10.39,Zahedan,27245,2019,1,18,22,5,night,Winter,9.954468879,9.543597838
1/19/2019 21:10,0.514173998,1.062556449,1370,A20190192110,7.05,5.24,Zahedan,28630,2019,1,19,21,10,night,Winter,6.294190112,5.690795414
1/19/2019 22:45,0.622733477,0.896226571,1191,A20190192245,4.9,4.54,Tehran,28725,2019,1,19,22,45,night,Winter,7.386401663,7.302233409
1/19/2019 22:45,0.632856387,1.040739833,990,A20190192245,6.29,4.91,Mashhad,28725,2019,1,19,22,45,night,Winter,7.241721178,7.132687493
1/20/2019 21:50,0.622733477,0.896226571,1191,A20190202150,4.6,3.26,Tehran,30110,2019,1,20,21,50,night,Winter,6.907394442,7.402930003
1/20/2019 21:55,0.515395728,0.917694121,1491,A20190202155,2.81,3.92,Shiraz,30115,2019,1,20,21,55,night,Winter,5.997715528,5.380347947
1/20/2019 21:55,0.514173998,1.062556449,1370,A20190202155,4.53,3.4,Zahedan,30115,2019,1,20,21,55,night,Winter,5.274268512,5.75404597
1/20/2019 23:30,0.597949802,0.822224611,1322,A20190202330,4.02,3.7,Kermanshah,30210,2019,1,20,23,30,night,Winter,7.09677899,8.092867858
1/20/2019 23:30,0.664621379,0.807738378,1361,A20190202330,3.1,3.83,Tabriz,30210,2019,1,20,23,30,night,Winter,7.636339516,7.835184273
1/21/2019 22:35,0.622733477,0.896226571,1191,A20190212235,4.77,3.75,Tehran,31595,2019,1,21,22,35,night,Winter,7.083587347,7.538617077
1/21/2019 22:35,0.566533875,0.902509756,1550,A20190212235,3.83,4.5,Esfahan,31595,2019,1,21,22,35,night,Winter,6.841440163,6.801128204
1/21/2019 22:35,0.515395728,0.917694121,1491,A20190212235,3.99,2.93,Shiraz,31595,2019,1,21,22,35,night,Winter,5.669156155,5.945924339
1/21/2019 22:35,0.632856387,1.040739833,990,A20190212235,6.81,3.75,Mashhad,31595,2019,1,21,22,35,night,Winter,6.743870541,7.230959299
1/21/2019 22:35,0.514173998,1.062556449,1370,A20190212235,4.64,3.22,Zahedan,31595,2019,1,21,22,35,night,Winter,5.259215541,6.051796903
1/22/2019 21:40,0.566533875,0.902509756,1550,A20190222140,5.76,3.65,Esfahan,32980,2019,1,22,21,40,night,Winter,6.420116675,7.004931629
1/22/2019 21:40,0.515395728,0.917694121,1491,A20190222140,3.63,2.16,Shiraz,32980,2019,1,22,21,40,night,Winter,5.376937765,5.745167593
