Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,datetime,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
0.622733477,0.896226571,1191,A20190110955,4.98,4.21,Tehran,1/11/2019 9:55,16435,2019,1,11,9,55,day,Winter,5.850935839,6.61970348
0.573515192,1.033234917,1491,A20190120900,2.06,2.7,Birjand,1/12/2019 9:00,17820,2019,1,12,9,0,day,Winter,3.993576123,4.668107553
0.622733477,0.896226571,1191,A20190120900,5.26,4.81,Tehran,1/12/2019 9:00,17820,2019,1,12,9,0,day,Winter,5.532874907,6.809754941
0.622733477,0.896226571,1191,A20190150930,4.34,4.38,Tehran,1/15/2019 9:30,22170,2019,1,15,9,30,day,Winter,5.668344813,6.583361893
0.573515192,1.033234917,1491,A20190160835,8.69,6.27,Birjand,1/16/2019 8:35,23555,2019,1,16,8,35,day,Winter,5.69074327,6.520961056
0.573515192,1.033234917,1491,A20190181000,3,4.44,Birjand,1/18/2019 10:00,26520,2019,1,18,10,0,day,Winter,4.936083474,5.464065355
0.527962099,0.994139542,1754,A20190181000,3.91,3.24,Kerman,1/18/2019 10:00,26520,2019,1,18,10,0,day,Winter,4.658118526,5.553355868
0.573515192,1.033234917,1491,A20190190905,3.62,4.21,Birjand,1/19/2019 9:05,27905,2019,1,19,9,5,day,Winter,4.592015547,4.859060191
0.527962099,0.994139542,1754,A20190190905,2.73,2.32,Kerman,1/19/2019 9:05,27905,2019,1,19,9,5,day,Winter,4.08041264,4.484872369
0.546811655,0.849451747,22,A20190200950,7.14,8.36,Ahwaz,1/20/2019 9:50,29390,2019,1,20,9,50,day,Winter,9.212844714,8.733064613
0.573515192,1.033234917,1491,A20190200950,5.19,5.31,Birjand,1/20/2019 9:50,29390,2019,1,20,9,50,day,Winter,5.483773331,5.560860535
0.527962099,0.994139542,1754,A20190200950,3.73,3.44,Kerman,1/20/2019 9:50,29390,2019,1,20,9,50,day,Winter,4.850651938,4.728609263
0.622733477,0.896226571,1191,A20190200950,5.02,6.87,Tehran,1/20/2019 9:50,29390,2019,1,20,9,50,day,Winter,6.840621946,8.652040295
0.573515192,1.033234917,1491,A20190210855,3.61,4.13,Birjand,1/21/2019 8:55,30775,2019,1,21,8,55,day,Winter,4.713824406,4.769134102
0.527962099,0.994139542,1754,A20190210855,3,5.24,Kerman,1/21/2019 8:55,30775,2019,1,21,8,55,day,Winter,5.481631792,5.550349467
0.546811655,0.849451747,22,A20190220935,11.76,13.31,Ahwaz,1/22/2019 9:35,32255,2019,1,22,9,35,day,Winter,11.56384934,14.10242841
0.573515192,1.033234917,1491,A20190220935,3.56,3.27,Birjand,1/22/2019 9:35,32255,2019,1,22,9,35,day,Winter,4.419339546,4.91096735
0.527962099,0.994139542,1754,A20190220935,3.43,2.87,Kerman,1/22/2019 9:35,32255,2019,1,22,9,35,day,Winter,4.47299465,4.80643222
0.622733477,0.896226571,1191,A20190220940,5.77,8.45,Tehran,1/22/2019 9:40,32260,2019,1,22,9,40,day,Winter,7.655042363,8.773156813
0.573515192,1.033234917,1491,A20190230840,5.09,4.73,Birjand,1/23/2019 8:40,33640,2019,1,23,8,40,day,Winter,4.825918298,5.101923933
0.527962099,0.994139542,1754,A20190230840,4.31,4.86,Kerman,1/23/2019 8:40,33640,2019,1,23,8,40,day,Winter,5.157750198,5.025936938
0.573515192,1.033234917,1491,A20190240925,3.62,2.8,Birjand,1/24/2019 9:25,35125,2019,1,24,9,25,day,Winter,4.110237122,4.984735385
0.527962099,0.994139542,1754,A20190240925,6.03,5.15,Kerman,1/24/2019 9:25,35125,2019,1,24,9,25,day,Winter,5.40419654,5.656318096
