datetime,Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
1/25/2019 8:30,0.573515192,1.033234917,1491,A20190250830,4.97,5.74,Birjand,36510,2019,1,25,8,30,day,Winter,5.233240338,6.033046375
1/25/2019 10:05,0.527962099,0.994139542,1754,A20190251005,4.57,4.12,Kerman,36605,2019,1,25,10,5,day,Winter,4.931145795,5.842554346
1/26/2019 9:10,0.546811655,0.849451747,22,A20190260910,15.87,12.75,Ahwaz,37990,2019,1,26,9,10,day,Winter,11.42778223,12.1908933
1/26/2019 9:10,0.527962099,0.994139542,1754,A20190260910,6.62,8.2,Kerman,37990,2019,1,26,9,10,day,Winter,7.289863798,7.978321478
1/26/2019 9:15,0.622733477,0.896226571,1191,A20190260915,6.14,6.68,Tehran,37995,2019,1,26,9,15,day,Winter,6.505239748,7.964563788
1/27/2019 9:55,0.573515192,1.033234917,1491,A20190270955,5.87,5.42,Birjand,39475,2019,1,27,9,55,day,Winter,5.440515305,5.574263872
1/27/2019 9:55,0.527962099,0.994139542,1754,A20190270955,4.86,4.22,Kerman,39475,2019,1,27,9,55,day,Winter,5.006225774,4.909251153
1/28/2019 9:00,0.573515192,1.033234917,1491,A20190280900,12.7,10.94,Birjand,40860,2019,1,28,9,0,day,Winter,9.022959384,10.88456162
1/29/2019 9:45,0.546811655,0.849451747,22,A20190290945,13.04,14.39,Ahwaz,42345,2019,1,29,9,45,day,Winter,12.43815164,14.87931704
1/31/2019 9:30,0.546811655,0.849451747,22,A20190310930,13.55,12.75,Ahwaz,45210,2019,1,31,9,30,day,Winter,11.52010518,12.20638154
1/31/2019 9:30,0.573515192,1.033234917,1491,A20190310930,5.96,4.62,Birjand,45210,2019,1,31,9,30,day,Winter,4.80198274,5.107023426
1/31/2019 9:30,0.527962099,0.994139542,1754,A20190310930,3.16,2.3,Kerman,45210,2019,1,31,9,30,day,Winter,3.956187029,4.580858566
1/31/2019 9:30,0.622733477,0.896226571,1191,A20190310930,9.87,10.3,Tehran,45210,2019,1,31,9,30,day,Winter,8.874277243,10.13457181
2/1/2019 8:35,0.573515192,1.033234917,1491,A20190320835,6.85,7.56,Birjand,46595,2019,2,1,8,35,day,Winter,6.62517362,7.278802502
