Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,datetime,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
0.515395728,0.917694121,1491,A20190212235,3.99,2.93,Shiraz,1/21/2019 22:35,31595,2019,1,21,22,35,night,Winter,5.669156155,5.945924339
0.632856387,1.040739833,990,A20190212235,6.81,3.75,Mashhad,1/21/2019 22:35,31595,2019,1,21,22,35,night,Winter,6.743870541,7.230959299
0.514173998,1.062556449,1370,A20190212235,4.64,3.22,Zahedan,1/21/2019 22:35,31595,2019,1,21,22,35,night,Winter,5.259215541,6.051796903
0.566533875,0.902509756,1550,A20190222140,5.76,3.65,Esfahan,1/22/2019 21:40,32980,2019,1,22,21,40,night,Winter,6.420116675,7.004931629
0.515395728,0.917694121,1491,A20190222140,3.63,2.16,Shiraz,1/22/2019 21:40,32980,2019,1,22,21,40,night,Winter,5.376937765,5.745167593
0.632856387,1.040739833,990,A20190222140,6.26,4.28,Mashhad,1/22/2019 21:40,32980,2019,1,22,21,40,night,Winter,6.874679321,6.948426991
0.514173998,1.062556449,1370,A20190222140,3.69,3.48,Zahedan,1/22/2019 21:40,32980,2019,1,22,21,40,night,Winter,5.291588818,5.998296031
0.664621379,0.807738378,1361,A20190222315,5.29,2.19,Tabriz,1/22/2019 23:15,33075,2019,1,22,23,15,night,Winter,7.114082904,7.047018443
0.622733477,0.896226571,1191,A20190222320,5.69,4.59,Tehran,1/22/2019 23:20,33080,2019,1,22,23,20,night,Winter,7.4348542,7.675658735
0.597949802,0.822224611,1322,A20190222320,5.62,4.15,Kermanshah,1/22/2019 23:20,33080,2019,1,22,23,20,night,Winter,7.240906542,8.243603201
0.632856387,1.040739833,990,A20190232220,5.53,3.23,Mashhad,1/23/2019 22:20,34460,2019,1,23,22,20,night,Winter,6.524483445,6.899523927
0.597949802,0.822224611,1322,A20190232220,7.18,3.49,Kermanshah,1/23/2019 22:20,34460,2019,1,23,22,20,night,Winter,6.987682454,7.935544633
0.664621379,0.807738378,1361,A20190232220,5.13,3.49,Tabriz,1/23/2019 22:20,34460,2019,1,23,22,20,night,Winter,7.45761848,7.64859779
0.622733477,0.896226571,1191,A20190232225,6.02,2.45,Tehran,1/23/2019 22:25,34465,2019,1,23,22,25,night,Winter,6.653398118,7.212693077
0.566533875,0.902509756,1550,A20190232225,5.71,2.58,Esfahan,1/23/2019 22:25,34465,2019,1,23,22,25,night,Winter,6.054812437,7.165815109
0.514173998,1.062556449,1370,A20190232225,3.76,5.81,Zahedan,1/23/2019 22:25,34465,2019,1,23,22,25,night,Winter,6.575849643,6.764184632
0.632856387,1.040739833,990,A20190242125,5.28,3.3,Mashhad,1/24/2019 21:25,35845,2019,1,24,21,25,night,Winter,6.47158356,6.876820259
0.622733477,0.896226571,1191,A20190242305,6.77,3.83,Tehran,1/24/2019 23:05,35945,2019,1,24,23,5,night,Winter,7.133467346,7.949626128
0.566533875,0.902509756,1550,A20190242305,6.17,2.09,Esfahan,1/24/2019 23:05,35945,2019,1,24,23,5,night,Winter,5.923159644,6.716309029
0.597949802,0.822224611,1322,A20190242305,7.09,5.31,Kermanshah,1/24/2019 23:05,35945,2019,1,24,23,5,night,Winter,7.734021478,8.006826287
0.622733477,0.896226571,1191,A20190252210,7.05,4.93,Tehran,1/25/2019 22:10,37330,2019,1,25,22,10,night,Winter,7.521578884,7.443300376
0.566533875,0.902509756,1550,A20190252210,5.05,3.71,Esfahan,1/25/2019 22:10,37330,2019,1,25,22,10,night,Winter,6.480638468,7.452624587
0.515395728,0.917694121,1491,A20190252210,10.2,7.26,Shiraz,1/25/2019 22:10,37330,2019,1,25,22,10,night,Winter,7.889026194,8.174367494
0.514173998,1.062556449,1370,A20190252210,6.64,7.06,Zahedan,1/25/2019 22:10,37330,2019,1,25,22,10,night,Winter,7.42926476,8.161383631
0.597949802,0.822224611,1322,A20190252210,7.58,5.15,Kermanshah,1/25/2019 22:10,37330,2019,1,25,22,10,night,Winter,7.604825905,7.97883274
0.664621379,0.807738378,1361,A20190252210,7.66,4.55,Tabriz,1/25/2019 22:10,37330,2019,1,25,22,10,night,Winter,7.837297046,7.722609036
0.632856387,1.040739833,990,A20190262115,7.27,4.35,Mashhad,1/26/2019 21:15,38715,2019,1,26,21,15,night,Winter,6.849471137,7.041269918
0.514173998,1.062556449,1370,A20190262115,8.25,4.93,Zahedan,1/26/2019 21:15,38715,2019,1,26,21,15,night,Winter,5.964810074,5.627436246
0.622733477,0.896226571,1191,A20190262255,7.34,3.72,Tehran,1/26/2019 22:55,38815,2019,1,26,22,55,night,Winter,6.920867941,7.443508216
0.515395728,0.917694121,1491,A20190262255,9.34,10.64,Shiraz,1/26/2019 22:55,38815,2019,1,26,22,55,night,Winter,10.18920935,10.13011715
0.664621379,0.807738378,1361,A20190262255,7.97,5.58,Tabriz,1/26/2019 22:55,38815,2019,1,26,22,55,night,Winter,8.138436849,7.634678937
0.514173998,1.062556449,1370,A20190272200,8.68,6.96,Zahedan,1/27/2019 22:00,40200,2019,1,27,22,0,night,Winter,7.377562556,8.149965622
0.514173998,1.062556449,1370,A20190292145,12.18,5.04,Zahedan,1/29/2019 21:45,43065,2019,1,29,21,45,night,Winter,5.988024929,5.587801596
0.622733477,0.896226571,1191,A20190302230,6.88,2.39,Tehran,1/30/2019 22:30,44550,2019,1,30,22,30,night,Winter,6.474598272,6.877629869
0.514173998,1.062556449,1370,A20190302230,10.69,3.56,Zahedan,1/30/2019 22:30,44550,2019,1,30,22,30,night,Winter,5.408942635,6.445418399
0.515395728,0.917694121,1491,A20190312135,8.61,3.17,Shiraz,1/31/2019 21:35,45935,2019,1,31,21,35,night,Winter,5.574887022,6.217941939
0.632856387,1.040739833,990,A20190312135,9.25,5.73,Mashhad,1/31/2019 21:35,45935,2019,1,31,21,35,night,Winter,7.384310254,6.437629951
0.514173998,1.062556449,1370,A20190312135,6.56,2.56,Zahedan,1/31/2019 21:35,45935,2019,1,31,21,35,night,Winter,4.848325668,6.193077126
0.597949802,0.822224611,1322,A20190312310,8.72,4.72,Kermanshah,1/31/2019 23:10,46030,2019,1,31,23,10,night,Winter,7.332863874,8.261511235
0.566533875,0.902509756,1550,A20190322215,5.18,5.99,Esfahan,2/1/2019 22:15,47415,2019,2,1,22,15,night,Winter,7.696136093,7.431231343
0.632856387,1.040739833,990,A20190322215,7.75,7.7,Mashhad,2/1/2019 22:15,47415,2019,2,1,22,15,night,Winter,9.066354381,7.61319615
0.514173998,1.062556449,1370,A20190322220,4.86,5.04,Zahedan,2/1/2019 22:20,47420,2019,2,1,22,20,night,Winter,6.022992456,6.132545839
0.632856387,1.040739833,990,A20190332120,8.98,9.18,Mashhad,2/2/2019 21:20,48800,2019,2,2,21,20,night,Winter,10.01642955,8.169475506
0.566533875,0.902509756,1550,A20190332300,6.4,5.03,Esfahan,2/2/2019 23:00,48900,2019,2,2,23,0,night,Winter,7.18629228,6.950715307
0.664621379,0.807738378,1361,A20190332300,8.15,3.45,Tabriz,2/2/2019 23:00,48900,2019,2,2,23,0,night,Winter,7.497698864,8.083748151
0.622733477,0.896226571,1191,A20190342205,10.75,4.08,Tehran,2/3/2019 22:05,50285,2019,2,3,22,5,night,Winter,7.194796255,7.911027191
0.566533875,0.902509756,1550,A20190342205,7.74,3.46,Esfahan,2/3/2019 22:05,50285,2019,2,3,22,5,night,Winter,6.272457216,6.723559788
0.622733477,0.896226571,1191,A20190352245,7.02,4.29,Tehran,2/4/2019 22:45,51765,2019,2,4,22,45,night,Winter,7.132955662,7.30570956
0.664621379,0.807738378,1361,A20190352245,6.17,2.01,Tabriz,2/4/2019 22:45,51765,2019,2,4,22,45,night,Winter,6.847725338,7.06559185
0.515395728,0.917694121,1491,A20190352250,2.58,1.6,Shiraz,2/4/2019 22:50,51770,2019,2,4,22,50,night,Winter,4.845083892,4.186967436
0.597949802,0.822224611,1322,A20190352250,5.18,1.87,Kermanshah,2/4/2019 22:50,51770,2019,2,4,22,50,night,Winter,6.245912053,7.081169705
0.597949802,0.822224611,1322,A20190362330,4.18,2.57,Kermanshah,2/5/2019 23:30,53250,2019,2,5,23,30,night,Winter,6.470855139,7.615803962
0.664621379,0.807738378,1361,A20190362330,3.74,3.93,Tabriz,2/5/2019 23:30,53250,2019,2,5,23,30,night,Winter,7.550529749,7.580819764
0.632856387,1.040739833,990,A20190372235,6.37,4.59,Mashhad,2/6/2019 22:35,54635,2019,2,6,22,35,night,Winter,6.997145998,7.156584818
0.515395728,0.917694121,1491,A20190382140,2.87,6.09,Shiraz,2/7/2019 21:40,56020,2019,2,7,21,40,night,Winter,6.883136482,6.692632952
0.514173998,1.062556449,1370,A20190382140,3.24,2.35,Zahedan,2/7/2019 21:40,56020,2019,2,7,21,40,night,Winter,4.470970969,5.350774502
0.514173998,1.062556449,1370,A20190392225,2.78,4.63,Zahedan,2/8/2019 22:25,57505,2019,2,8,22,25,night,Winter,5.736571284,5.742652265
0.566533875,0.902509756,1550,A20190422255,9.98,4.15,Esfahan,2/11/2019 22:55,61855,2019,2,11,22,55,night,Winter,6.440568309,5.994966453
0.664621379,0.807738378,1361,A20190432335,7.28,3,Tabriz,2/12/2019 23:35,63335,2019,2,12,23,35,night,Winter,7.052841029,6.606788415
0.622733477,0.896226571,1191,A20190442240,5.13,3.5,Tehran,2/13/2019 22:40,64720,2019,2,13,22,40,night,Winter,6.653699476,6.900308113
0.597949802,0.822224611,1322,A20190442240,5.26,2.55,Kermanshah,2/13/2019 22:40,64720,2019,2,13,22,40,night,Winter,6.277888977,6.776375326
0.664621379,0.807738378,1361,A20190442240,4.98,5.36,Tabriz,2/13/2019 22:40,64720,2019,2,13,22,40,night,Winter,8.027734138,6.906235772
0.514173998,1.062556449,1370,A20190452145,4.32,2.03,Zahedan,2/14/2019 21:45,66105,2019,2,14,21,45,night,Winter,4.407361302,4.671666232
0.632856387,1.040739833,990,A20190462230,6.38,8.49,Mashhad,2/15/2019 22:30,67590,2019,2,15,22,30,night,Winter,9.386118891,7.983018726
0.514173998,1.062556449,1370,A20190472135,14.36,16.34,Zahedan,2/16/2019 21:35,68975,2019,2,16,21,35,night,Winter,12.93025564,13.61082384
0.622733477,0.896226571,1191,A20190482215,5.52,2.98,Tehran,2/17/2019 22:15,70455,2019,2,17,22,15,night,Winter,6.448023495,7.055591573
0.664621379,0.807738378,1361,A20190482215,7.63,4.8,Tabriz,2/17/2019 22:15,70455,2019,2,17,22,15,night,Winter,7.774839652,7.599073132
0.622733477,0.896226571,1191,A20190492300,5.17,3.32,Tehran,2/18/2019 23:00,71940,2019,2,18,23,0,night,Winter,6.646203562,7.42305311
0.566533875,0.902509756,1550,A20190492300,5.09,3.37,Esfahan,2/18/2019 23:00,71940,2019,2,18,23,0,night,Winter,6.283636201,6.718930481
0.515395728,0.917694121,1491,A20190492300,2.73,3.64,Shiraz,2/18/2019 23:00,71940,2019,2,18,23,0,night,Winter,5.935207157,5.697380052
0.566533875,0.902509756,1550,A20190502205,5.44,2.62,Esfahan,2/19/2019 22:05,73325,2019,2,19,22,5,night,Winter,5.766020759,6.591112115
0.515395728,0.917694121,1491,A20190502205,4.48,2.24,Shiraz,2/19/2019 22:05,73325,2019,2,19,22,5,night,Winter,5.103090647,5.311333298
0.664621379,0.807738378,1361,A20190502340,6.47,3.04,Tabriz,2/19/2019 23:40,73420,2019,2,19,23,40,night,Winter,7.002244106,7.246310195
0.622733477,0.896226571,1191,A20190512245,4.22,2.12,Tehran,2/20/2019 22:45,74805,2019,2,20,22,45,night,Winter,6.090680246,7.078064375
0.664621379,0.807738378,1361,A20190512245,3.22,2.52,Tabriz,2/20/2019 22:45,74805,2019,2,20,22,45,night,Winter,6.738233406,7.090017644
0.515395728,0.917694121,1491,A20190522155,4.39,6.09,Shiraz,2/21/2019 21:55,76195,2019,2,21,21,55,night,Winter,7.19149849,6.834116031
0.597949802,0.822224611,1322,A20190522330,4.53,4.88,Kermanshah,2/21/2019 23:30,76290,2019,2,21,23,30,night,Winter,7.306529362,8.022358744
0.664621379,0.807738378,1361,A20190522330,4.19,4.56,Tabriz,2/21/2019 23:30,76290,2019,2,21,23,30,night,Winter,7.674397221,7.572105171
0.622733477,0.896226571,1191,A20190532235,5.22,5.73,Tehran,2/22/2019 22:35,77675,2019,2,22,22,35,night,Winter,7.683277493,7.738835234
0.566533875,0.902509756,1550,A20190532235,4.7,3.99,Esfahan,2/22/2019 22:35,77675,2019,2,22,22,35,night,Winter,6.658977623,7.117401351
0.664621379,0.807738378,1361,A20190532235,6.3,4.43,Tabriz,2/22/2019 22:35,77675,2019,2,22,22,35,night,Winter,7.507302183,7.48782117
0.515395728,0.917694121,1491,A20190542140,10.55,6.32,Shiraz,2/23/2019 21:40,79060,2019,2,23,21,40,night,Winter,7.393392994,6.733059038
0.632856387,1.040739833,990,A20190542140,3.89,9.29,Mashhad,2/23/2019 21:40,79060,2019,2,23,21,40,night,Winter,9.844805037,9.146736087
0.514173998,1.062556449,1370,A20190552225,5.19,8.1,Zahedan,2/24/2019 22:25,80545,2019,2,24,22,25,night,Winter,9.05579223,8.25968222
0.514173998,1.062556449,1370,A20190562130,9.48,4.71,Zahedan,2/25/2019 21:30,81930,2019,2,25,21,30,night,Winter,6.250029408,5.430470108
0.622733477,0.896226571,1191,A20190562305,10.29,4.38,Tehran,2/25/2019 23:05,82025,2019,2,25,23,5,night,Winter,7.153061991,7.626402468
0.664621379,0.807738378,1361,A20190562305,5.71,3.33,Tabriz,2/25/2019 23:05,82025,2019,2,25,23,5,night,Winter,7.148880075,7.17298146
0.632856387,1.040739833,990,A20190572210,8.37,9.44,Mashhad,2/26/2019 22:10,83410,2019,2,26,22,10,night,Winter,10.24901368,9.163293574
0.514173998,1.062556449,1370,A20190572210,8.58,3.39,Zahedan,2/26/2019 22:10,83410,2019,2,26,22,10,night,Winter,5.777388275,6.086585085
0.622733477,0.896226571,1191,A20190582255,7.32,6.96,Tehran,2/27/2019 22:55,84895,2019,2,27,22,55,night,Winter,8.544465671,8.746588927
0.566533875,0.902509756,1550,A20190582255,5.9,6.95,Esfahan,2/27/2019 22:55,84895,2019,2,27,22,55,night,Winter,9.052109726,8.301795356
0.566533875,0.902509756,1550,A20190592200,7.11,6.46,Esfahan,2/28/2019 22:00,86280,2019,2,28,22,0,night,Winter,8.417170941,7.424571865
0.632856387,1.040739833,990,A20190592200,12.03,6.79,Mashhad,2/28/2019 22:00,86280,2019,2,28,22,0,night,Winter,8.370688957,8.580631194
0.622733477,0.896226571,1191,A20190612145,5.44,4.64,Tehran,3/2/2019 21:45,89145,2019,3,2,21,45,night,Spring,7.01244245,7.809697139
0.632856387,1.040739833,990,A20190612145,11.37,6.35,Mashhad,3/2/2019 21:45,89145,2019,3,2,21,45,night,Spring,7.948921522,7.051925023
0.514173998,1.062556449,1370,A20190612145,7.41,5.28,Zahedan,3/2/2019 21:45,89145,2019,3,2,21,45,night,Spring,6.411373227,5.604469618
0.622733477,0.896226571,1191,A20190622230,5.91,4.41,Tehran,3/3/2019 22:30,90630,2019,3,3,22,30,night,Spring,7.017631072,7.848516789
0.566533875,0.902509756,1550,A20190622230,3.29,1.48,Esfahan,3/3/2019 22:30,90630,2019,3,3,22,30,night,Spring,5.292660191,5.089868826
0.515395728,0.917694121,1491,A20190622230,4.28,1.27,Shiraz,3/3/2019 22:30,90630,2019,3,3,22,30,night,Spring,4.742548368,4.133937451
0.514173998,1.062556449,1370,A20190622230,6.44,6.34,Zahedan,3/3/2019 22:30,90630,2019,3,3,22,30,night,Spring,7.595270639,7.261411916
0.597949802,0.822224611,1322,A20190622230,6.64,3.83,Kermanshah,3/3/2019 22:30,90630,2019,3,3,22,30,night,Spring,6.629846658,8.305054797
0.632856387,1.040739833,990,A20190632135,8.25,8.93,Mashhad,3/4/2019 21:35,92015,2019,3,4,21,35,night,Spring,9.900221714,9.600793284
0.514173998,1.062556449,1370,A20190632135,9.42,4.58,Zahedan,3/4/2019 21:35,92015,2019,3,4,21,35,night,Spring,6.003149498,5.108109976
0.622733477,0.896226571,1191,A20190632310,6.31,7.79,Tehran,3/4/2019 23:10,92110,2019,3,4,23,10,night,Spring,9.453130017,9.182353533
0.622733477,0.896226571,1191,A20190642215,7.19,4.78,Tehran,3/5/2019 22:15,93495,2019,3,5,22,15,night,Spring,7.274117326,8.183141395
0.566533875,0.902509756,1550,A20190642220,4.52,2.09,Esfahan,3/5/2019 22:20,93500,2019,3,5,22,20,night,Spring,5.607005415,6.329915399
0.515395728,0.917694121,1491,A20190642220,2.84,3.2,Shiraz,3/5/2019 22:20,93500,2019,3,5,22,20,night,Spring,5.704995963,5.359994228
0.514173998,1.062556449,1370,A20190642220,6.68,6.91,Zahedan,3/5/2019 22:20,93500,2019,3,5,22,20,night,Spring,8.147131939,7.904612404
0.566533875,0.902509756,1550,A20190652300,4.14,3.75,Esfahan,3/6/2019 23:00,94980,2019,3,6,23,0,night,Spring,6.781337445,7.107891477
0.515395728,0.917694121,1491,A20190652300,4.02,5.73,Shiraz,3/6/2019 23:00,94980,2019,3,6,23,0,night,Spring,7.670640053,7.218371471
0.664621379,0.807738378,1361,A20190652300,6.76,4.07,Tabriz,3/6/2019 23:00,94980,2019,3,6,23,0,night,Spring,7.535912885,8.07310819
0.566533875,0.902509756,1550,A20190662205,5.24,3.69,Esfahan,3/7/2019 22:05,96365,2019,3,7,22,5,night,Spring,6.4858124,6.955770499
0.632856387,1.040739833,990,A20190662205,8.64,7.73,Mashhad,3/7/2019 22:05,96365,2019,3,7,22,5,night,Spring,9.321322317,8.836898604
0.514173998,1.062556449,1370,A20190662205,11.16,6.92,Zahedan,3/7/2019 22:05,96365,2019,3,7,22,5,night,Spring,8.219853042,7.924293833
0.514173998,1.062556449,1370,A20190672110,7.32,4.93,Zahedan,3/8/2019 21:10,97750,2019,3,8,21,10,night,Spring,6.369933913,5.236727764
0.622733477,0.896226571,1191,A20190692235,7.11,4.87,Tehran,3/10/2019 22:35,100715,2019,3,10,22,35,night,Spring,7.439975994,7.221846488
0.566533875,0.902509756,1550,A20190702140,3.8,5.51,Esfahan,3/11/2019 21:40,102100,2019,3,11,21,40,night,Spring,7.814595546,6.510091383
0.515395728,0.917694121,1491,A20190702140,5.05,5.18,Shiraz,3/11/2019 21:40,102100,2019,3,11,21,40,night,Spring,7.128334805,5.759224196
0.632856387,1.040739833,990,A20190702140,6.15,7.34,Mashhad,3/11/2019 21:40,102100,2019,3,11,21,40,night,Spring,8.907590094,8.812326332
0.514173998,1.062556449,1370,A20190702140,8.35,7.8,Zahedan,3/11/2019 21:40,102100,2019,3,11,21,40,night,Spring,9.034013606,8.1449066
0.622733477,0.896226571,1191,A20190702320,7.35,4.55,Tehran,3/11/2019 23:20,102200,2019,3,11,23,20,night,Spring,7.521377665,7.67911292
0.664621379,0.807738378,1361,A20190702320,5.27,4.52,Tabriz,3/11/2019 23:20,102200,2019,3,11,23,20,night,Spring,7.915362584,7.670888752
0.632856387,1.040739833,990,A20190712220,8.13,7.72,Mashhad,3/12/2019 22:20,103580,2019,3,12,22,20,night,Spring,9.505811794,8.912849062
0.622733477,0.896226571,1191,A20190712225,7.71,5.96,Tehran,3/12/2019 22:25,103585,2019,3,12,22,25,night,Spring,8.204368847,8.335717669
0.566533875,0.902509756,1550,A20190712225,7.9,4.05,Esfahan,3/12/2019 22:25,103585,2019,3,12,22,25,night,Spring,7.221453078,6.25961833
0.515395728,0.917694121,1491,A20190712225,7.85,3.76,Shiraz,3/12/2019 22:25,103585,2019,3,12,22,25,night,Spring,6.579175432,5.39043877
