Site,Longitude,Latitude,EastVelocity,NorthVelocity,EastError,NorthError,Correlation,Solution,Speed
RTCL,51.711,35.5744,-0.37,11.24,0.65,0.3,0,IPGN,11.24608821
RTKM,51.0989,35.4864,-1.17,11.46,0.22,0.26,0.004,IPGN,11.5195703
SA10,43.951,40.108,2.35,7.2,0.43,0.42,-0.013,Reilinger,7.573803536
SA20,43.807,40.097,2.42,6.83,0.43,0.42,-0.012,Reilinger,7.246054099
SAA2,53.146,30.087,-0.98,12.93,1.17,1.13,0.001,Raeesi,12.96708525
SABZ,57.6528,36.1849,1.17,7.85,0.15,0.27,0.005,IPGN,7.936712166
SAFI,57.9213,36.6982,-0.2,4.32,0.2,0.1,0.009,IPGN,4.324627152
SAGZ,46.3112,36.2211,-2.44,15,0.16,0.23,0.004,IPGN,15.19715763
SALF,50.4686,34.4842,-1.62,13.04,0.1,0.09,0.02,IPGN,13.14024353
SALY,49.02,39.676,6.52,6.38,1.38,1.41,0,Reilinger,9.122214643
SAMU,48.529,41.595,0.25,1.15,0.74,0.66,0,Reilinger,1.17686023
SARB,59.955,32.578,1.75,5.83,1.18,1.19,0.004,Raeesi,6.086986118
SARD,50.026,30.325,-2.7,20.6,1.68,1.66,-0.001,Raeesi,20.77618829
SARK,61.1486,36.5368,-0.25,1.72,0.12,0.19,0.009,IPGN,1.738073646
SARZ,56.946,27.488,-1.75,19,2.27,2.12,0.021,Raeesi,19.0804219
SBAK,55.1075,30.1462,-0.33,13.69,0.12,0.11,0.015,IPGN,13.69397678
SDAD,57.6817,30.4122,1.84,8.37,0.19,0.2,0.006,IPGN,8.569859976
SEDE,52.179,30.726,-0.4,11.86,1.54,1.52,0,Raeesi,11.86674345
SEMD,44.574,37.305,-3.2,14.87,0.89,0.89,0.011,Reilinger,15.21042077
SEMI,51.43,31.225,-4.27,14.02,1.63,1.62,0,Raeesi,14.65582819
SEMN,53.564,35.662,-0.02,8.87,0.42,0.4,0.011,Raeesi,8.870022548
SEND,55.929,31.713,0.18,12.53,1.06,1.06,0.003,Raeesi,12.53129283
SEPI,51.358,30.61,-2.63,15.99,1.57,1.57,0,Raeesi,16.20484495
SFHN,51.7061,32.5177,-0.57,13.1,0.33,0.12,0.005,IPGN,13.1123949
SHA0,44.528,40.753,3.28,7.15,0.75,0.75,-0.012,Reilinger,7.866441381
SHA1,53.492,36.679,-4.6,8.21,0.74,0.76,0.01,Raeesi,9.410850121
SHAB,45.887,38.228,1.75,12.63,0.38,0.37,0.024,Raeesi,12.75066273
SHAH,50.748,32.367,-2.48,12.99,0.4,0.38,-0.015,Raeesi,13.2246172
SHAM,58.431,37.57,-0.63,2.32,0.66,0.66,-0.023,Raeesi,2.404017471
SHAN,51.775,28.4,-0.92,18.01,1.62,1.6,0,Raeesi,18.03348275
SHEK,47.25,41.132,0.65,5.47,0.5,0.5,0,Reilinger,5.508484365
SHIK,49.426,40.025,3.56,1.78,0.53,0.51,0,Reilinger,3.980201
SHIR,57.308,37.814,-2.79,3.55,0.45,0.41,0.002,Raeesi,4.515152268
SHKH,60.296,33.654,0.16,1.65,0.96,0.9,-0.015,Raeesi,1.657739425
SHOL,49.668,33.073,-0.84,14.04,0.74,0.71,-0.002,Raeesi,14.06510576
SHOR,51.8842,35.2772,-1.05,13.62,0.17,0.12,0.009,IPGN,13.66041361
SHOU,46.76,39.753,4.55,10.75,0.44,0.42,0,Reilinger,11.67326004
SHRN,57.8227,37.4372,-2.78,3,0.52,0.82,0.001,IPGN,4.090036675
SHRZ,52.6026,29.5444,-0.65,14.13,0.11,0.11,0.015,IPGN,14.14494256
SHUA,42.133,41.648,0.81,3.31,1.33,0.82,-0.016,Reilinger,3.407667824
SIRT,41.936,37.932,-4.61,15.23,1.5,1.51,-0.002,Reilinger,15.91241654
SIYE,49.12,41.066,0.52,1.89,0.68,0.61,0,Reilinger,1.960229578
SKOH,46.1229,37.9332,0,12.55,0.11,0.16,0.009,IPGN,12.55
SLNY,42.259,44.891,-1.03,1.85,0.49,0.39,-0.057,Reilinger,2.117404071
SMNN,53.4207,35.5882,-0.85,10.33,0.33,0.15,0.004,IPGN,10.36491196
SNDJ,47.0146,35.2552,-3.3,14,0.37,0.35,0.001,IPGN,14.3836713
SOLA,46.4006,24.9107,4.88,19.53,0.12,0.1,0.015,IPGN*,20.13045702
SOLE,49.328,32.037,-3.64,18.31,1.65,1.64,0.009,Raeesi,18.66830737
SOLH,41.057,38.959,-6.91,13.98,1.01,1.1,-0.017,Reilinger,15.59450224
SORC,57.884,27.901,1.37,13.36,2.24,2.05,0.022,Raeesi,13.43005957
SRCH,55.885,30.014,1.02,14.06,1.67,1.66,0.001,Raeesi,14.09695002
SRJN,55.707,29.304,0.76,15.15,1.64,1.63,0.002,Raeesi,15.16905073
SRVN,62.3183,27.3902,2.26,3.47,0.25,0.17,0.003,IPGN,4.14107474
STEP,44.364,41.031,2.32,5.02,0.5,0.5,-0.041,Reilinger,5.530171788
SVR2,53.244,29.281,-2.54,13.95,1.15,1.15,0.001,Raeesi,14.17935471
SYON,48.773,15.947,11.3,19.54,0.7,0.66,0,Reilinger,22.57214212
TABS,56.9507,33.6034,-0.44,9.82,0.15,0.15,0.008,IPGN,9.829852491
TABZ,46.3433,38.0557,1.22,10.83,0.24,0.19,0.003,IPGN,10.8984999
TANG,52.043,35.492,-0.85,9.97,0.36,0.36,0.01,Raeesi,10.0061681
TASJ,45.3606,38.316,0.22,13.97,0.11,0.1,0.012,IPGN,13.97173218
TAZA,47.271,38.27,3.29,12.22,0.59,0.61,-0.005,Raeesi,12.6551373
TEHN,51.3341,35.6973,-0.43,11.28,0.16,0.1,0.01,IPGN,11.28819295
TEHR,51.386,35.747,-0.65,12.94,0.79,0.75,0.01,Raeesi,12.95631506
TF01,51.257,35.812,-1.6,12.9,0.42,0.42,0.01,Raeesi,12.9988461
TF09,51.425,35.833,-1.25,12.56,0.5,0.5,0.01,Raeesi,12.62204817
TF16,51.522,35.774,-1.7,12.36,0.41,0.41,0.01,Raeesi,12.47636165
TF20,51.568,35.808,-3.19,11.43,0.51,0.52,0.01,Raeesi,11.86680243
TFSH,50.0521,34.676,-1.56,12.82,0.1,0.1,0.018,IPGN,12.91456542
THED,59.2187,35.347,0.65,3.99,0.13,0.16,0.012,IPGN,4.042598174
TJAM,60.5642,35.2944,-0.19,2.49,0.16,0.18,0.009,IPGN,2.497238475
TKBN,50.9301,36.7859,-3.22,9.94,0.1,0.11,0.015,IPGN,10.44854057
TKCE,47.3928,37.5794,-0.11,12.66,0.29,0.17,0.003,IPGN,12.66047787
TKMN,41.512,39.643,-2.03,6.94,1,1.01,-0.005,Reilinger,7.230802169
TLGN,50.745,36.1436,-3.43,11.42,0.34,0.18,0.002,IPGN,11.92398004
TMN2,54.316,29.239,-2.8,13.15,1.2,1.21,0.002,Raeesi,13.44479453
TN01,51,35.493,-1.03,13.22,0.7,0.7,0.02,Raeesi,13.2600641
TN02,51.17,35.203,-0.68,12.99,0.45,0.46,0.009,Raeesi,13.00778613
TN03,51.379,35.366,-0.78,12.85,0.48,0.49,0.01,Raeesi,12.87365139
TN04,51.409,35.495,-1.28,13.3,0.46,0.47,0.01,Raeesi,13.36145202
TN05,51.515,35.633,-0.31,11.41,0.49,0.5,0.01,Raeesi,11.41421044
TN06,51.724,35.55,-0.46,11.3,0.4,0.4,0.01,Raeesi,11.30935896
TN07,51.994,35.763,-1.75,9.72,0.47,0.48,0.01,Raeesi,9.876279664
TORQ,59.6275,36.2241,0.79,0.82,0.15,0.13,0.01,IPGN,1.138639539
TOTI,58.532,33.019,-0.15,8.65,0.8,0.78,0.016,Raeesi,8.65130048
TPTG,57.2485,34.9019,0.59,8.64,0.37,0.54,0.008,IPGN,8.660121246
TRAB,39.7756,40.9947,-0.56,2.04,0.33,0.28,-0.003,IPGN*,2.115466852
TVAN,42.29,38.529,-3.37,15.28,0.81,0.81,-0.008,Reilinger,15.64721381
UDER,41.548,40.531,0.19,3.55,0.81,0.81,-0.018,Reilinger,3.555080871
VAAN,43.283,38.565,-4.72,12.96,1.01,1.02,-0.005,Reilinger,13.79275172
VLDN,45.1933,38.4915,2.84,13.52,0.13,0.13,0.01,IPGN,13.81506424
VLKK,44.677,43.046,0.64,2.37,1.07,1.08,-0.01,Reilinger,2.454893073
VRMN,51.632,35.344,-0.77,12.72,0.25,0.63,0,Raeesi,12.74328451
VRTO,41.454,39.186,-5.3,10.31,0.49,0.51,-0.024,Reilinger,11.59250189
YAGH,52.235,29.617,-1.74,15.07,1.54,1.53,0,Raeesi,15.17011865
YARD,48.388,38.952,5.41,13.9,0.97,0.89,0.002,Raeesi,14.91569978
YIBL,56.1123,22.1865,6.58,24.69,0.24,0.17,0.001,IPGN*,25.55176119
YKKZ,45.4142,38.6721,4.43,10.68,0.19,0.11,0.008,IPGN,11.56232243
ZABL,61.7159,30.8413,1.46,1.97,0.13,0.18,0.009,IPGN,2.452039967
ZABO,61.517,31.049,0.6,1.95,1.34,1.23,0.015,Raeesi,2.040220576
ZARI,44.5498,38.4458,-0.07,13.67,0.11,0.14,0.01,IPGN,13.67017922
ZECK,41.5651,43.7884,-0.51,0.67,0.13,0.11,0.01,IPGN*,0.842021377
ZHAO,65.6053,26.3927,5.1,13.04,0.86,0.8,0.035,Frohling,14.00184274
ZMAN,56.7719,35.5896,0.27,9.67,0.53,0.56,0.012,IPGN,9.673768655
ZRND,56.6077,30.8332,-1.06,13.66,0.2,0.25,0.006,IPGN,13.70106565
ZVNG,58.515,36.438,1.94,3.52,0.67,0.67,-0.02,Raeesi,4.019203901
