Site,Longitude,Latitude,EastVelocity,NorthVelocity,EastError,NorthError,Correlation,Solution,Speed
BMG2,53.48,26.97,1.97,20.36,1.54,1.56,0.001,Raeesi,20.45508494
BNAB,46.0519,37.3699,-1.43,12.3,0.38,0.72,0,IPGN,12.38284701
BOJD,57.2716,37.4803,-2.36,4.56,0.1,0.11,0.015,IPGN,5.134510687
BOND,50.732,36.623,-1.37,11.28,0.74,0.76,0,Raeesi,11.36289136
BOOM,51.812,35.73,-1.62,10.61,0.36,0.34,0,Raeesi,10.73296324
BORC,41.777,41.268,0.06,3.7,0.43,0.43,-0.007,Reilinger,3.700486455
BORU,48.506,33.772,-4.61,14.29,1.66,1.66,0.009,Raeesi,15.01519897
BRBS,56.3206,27.2072,5,23.18,0.26,0.27,0.006,IPGN,23.71312717
BRMN,47.2884,37.919,1.34,13.01,0.17,0.11,0.008,IPGN,13.0788264
BRSR,56.721,29.997,0.75,15.45,1.69,1.68,0.002,Raeesi,15.46819317
BSOF,45.7316,38.674,4.52,10.82,0.12,0.12,0.011,IPGN,11.72615879
BTMN,41.154,37.864,-6.43,15.27,0.81,0.81,0,Reilinger,16.5685787
BUR0,44.287,40.381,2.08,7.4,0.41,0.4,-0.019,Reilinger,7.686767851
BZGN,44.3922,39.3792,4.97,7.95,0.22,0.41,0.002,IPGN,9.375681309
CATK,43.061,38.007,-2.99,13.24,0.82,0.81,-0.003,Reilinger,13.57341888
CHBR,60.6511,25.2808,2.09,4.85,0.32,0.89,0.001,IPGN,5.281155177
CHEL,50.098,32.482,-4.21,17.36,1.64,1.62,0,Raeesi,17.863194
CHIT,51.2132,35.7287,-1.55,12.31,0.44,0.47,0.002,IPGN,12.40719952
CHO0,44.276,40.736,1.67,7.41,0.44,0.42,-0.019,Reilinger,7.595854132
CHSH,50.988,35.088,-1.76,11.19,0.43,0.43,-0.001,Raeesi,11.32756373
CHSM,50.9894,35.0876,-1.2,12.13,0.1,0.09,0.019,IPGN,12.18921244
CMCV,57.76,30.537,0.44,9.11,1.64,1.62,0.002,Raeesi,9.120619497
DAMA,52.059,35.701,-1.63,9.63,0.38,0.38,0.01,Raeesi,9.766974967
DAMO,47.744,39.513,7.22,14.71,0.5,0.47,-0.019,Raeesi,16.38635103
DAND,48.183,36.607,0.51,12.11,0.66,0.69,-0.009,Raeesi,12.1207343
DARG,57.589,35.915,-0.26,5.95,0.54,0.54,-0.009,Raeesi,5.955677963
DASH,51.814,29.945,-2.16,15.13,1.57,1.56,0,Raeesi,15.28340603
DBST,57.3302,29.2377,2.87,11.85,0.41,0.83,0.001,IPGN,12.19259611
